hero,avg_win_rate,avg_pick_rate,avg_ban_rate,avg_tier_num,win_rate_std,seasons_tracked,max_win_rate,min_win_rate,teamup_count,cluster,cluster_label,pca_x,pca_y,dev_watch
Adam Warlock,48.83439330543933,6.378870292887029,0.10380753138075315,3.2384937238493725,3.4643399986394887,239,54.14,40.0,0.0,3,Average Joe,-0.9178806792932656,-0.4789263056277152,✅ Stable — no intervention needed
Angela,52.8133,10.3883,2.8787000000000003,4.09,1.2226499247061033,100,56.25,50.56,0.0,1,Meta Tyrant,1.2804407987547295,-0.2804509793573526,✅ Stable — no intervention needed
Black Panther,51.524895397489544,7.301129707112971,8.15255230125523,3.920502092050209,3.5778918329099816,239,58.23,45.8,0.0,0,Consistent Carry,1.0134509280139852,-1.2109561940821718,⚪ Volatile — win rate swings heavily by season
Black Widow,40.21138075313808,2.726652719665272,0.17167364016736403,1.4267782426778242,9.643178684662745,239,50.1,0.0,0.0,2,Chronic Underperformer,-5.107266424473092,-1.17514144116767,🟢 Buff Candidate — chronic underperformer | ⚪ Volatile — win rate swings heavily by season
Blade,45.911764705882355,5.138991596638655,0.10134453781512605,2.563025210084034,4.608253584245325,119,50.92,33.33,0.0,3,Average Joe,-2.2627558146413067,-0.43944079127475655,⚪ Volatile — win rate swings heavily by season
Captain America,51.764208333333336,8.482000000000001,1.3845,3.9541666666666666,2.761671201016588,240,55.96,33.33,0.0,1,Meta Tyrant,0.5513765882497633,-0.6399443982243217,🟡 Rework Signal — popular but underperforming
Cloak & Dagger,47.13875,44.784083333333335,0.46849999999999997,3.783333333333333,2.6184803675312227,240,50.24,38.89,0.0,4,Niche Sleeper,0.310980142592747,2.684523829985653,🟡 Rework Signal — popular but underperforming
Daredevil,54.411125000000006,10.52725,19.335124999999998,4.8375,2.068744494045986,80,56.49,50.0,0.0,0,Consistent Carry,3.787459084251249,-1.5111034626565678,✅ Stable — no intervention needed
Deadpool (Duelist),43.871750000000006,4.2,0.0035000000000000005,1.8,1.182168558201411,40,45.31,42.03,0.0,3,Average Joe,-2.8842552009715625,0.8097781606089488,🟢 Buff Candidate — chronic underperformer
Deadpool (Strategist),46.12725,16.195,0.02225,2.95,1.2651907477551112,40,48.19,43.79,0.0,3,Average Joe,-1.1560538592513596,1.228719558594522,🟡 Rework Signal — popular but underperforming
Deadpool (Vanguard),48.994749999999996,13.9815,0.064,3.675,1.2681199237554914,40,51.26,47.68,0.0,3,Average Joe,-0.014792516633968229,0.6135710239768152,🟡 Rework Signal — popular but underperforming
Doctor Strange,49.93516666666667,25.961374999999997,0.4652083333333333,3.9,1.3695437858319899,240,54.43,47.8,0.0,4,Niche Sleeper,0.6725273824836034,1.299147797833109,🟡 Rework Signal — popular but underperforming
Elsa Bloodstone,51.413,17.629,1.524,4.4,1.437794729511319,20,53.11,50.2,0.0,1,Meta Tyrant,1.2990626283935758,0.3748308755237374,🟡 Rework Signal — popular but underperforming
Emma Frost,48.68366666666667,29.0595,12.38572222222222,3.827777777777778,1.7298690169034325,180,51.0,44.86,0.0,0,Consistent Carry,1.5909050691919986,1.0769229626201162,🟡 Rework Signal — popular but underperforming
Gambit,49.602,38.428666666666665,8.244,4.633333333333334,0.5056688807403029,60,50.36,48.9,0.0,4,Niche Sleeper,2.4617461064761876,2.058654941573675,🟡 Rework Signal — popular but underperforming
Groot,49.375375,11.859458333333333,5.353208333333333,3.441666666666667,1.8069099889477076,240,52.85,40.0,0.0,0,Consistent Carry,0.2533828079777996,0.06699819042191853,🟡 Rework Signal — popular but underperforming
Hawkeye,48.085166666666666,7.038291666666667,1.9410416666666666,2.9458333333333333,2.3516558693300604,240,54.55,42.37,0.0,3,Average Joe,-0.9659568677918132,-0.0658725686830168,✅ Stable — no intervention needed
Hela,50.38279166666666,13.549583333333334,6.876083333333333,3.7666666666666666,2.0443474775916366,240,55.56,46.28,0.0,0,Consistent Carry,0.8938193959132069,-0.10902773557977122,🟡 Rework Signal — popular but underperforming
Hulk,52.44389121338912,10.834769874476988,8.780878661087867,4.2092050209205025,1.331543744838398,239,55.56,50.23,0.0,0,Consistent Carry,1.9051710130485944,-0.502757048032416,✅ Stable — no intervention needed
Human Torch,49.702349999999996,3.7133499999999997,8.15255,3.425,6.368199810119658,200,61.9,0.0,0.0,0,Consistent Carry,-0.24791389005986544,-1.9633428332135379,⚪ Volatile — win rate swings heavily by season
Invisible Woman,48.05127272727273,39.980863636363644,1.2876363636363637,3.786363636363636,1.3252763020888747,220,51.28,46.38,0.0,4,Niche Sleeper,0.6350873605000358,2.548080363702755,🟡 Rework Signal — popular but underperforming
Iron Fist,50.49495833333334,7.765083333333333,3.0437083333333335,3.7416666666666667,4.435207560762317,240,54.0,0.0,0.0,1,Meta Tyrant,0.037842081654476396,-1.0475951298694721,⚪ Volatile — win rate swings heavily by season
Iron Man,49.44581589958159,10.226401673640169,2.1155230125523015,3.577405857740586,4.316668794171,239,52.99,31.25,0.0,3,Average Joe,-0.325508617385798,-0.6437232621826814,🟡 Rework Signal — popular but underperforming | ⚪ Volatile — win rate swings heavily by season
Jeff The Land Shark,46.26383333333333,19.265083333333333,0.6515,2.9791666666666665,2.859412317340384,240,51.36,25.0,0.0,3,Average Joe,-1.191217615577163,0.9596832787565283,🟡 Rework Signal — popular but underperforming
Loki,50.734,16.467875,1.3889166666666666,3.7708333333333335,2.5209759018895794,240,57.24,45.96,0.0,1,Meta Tyrant,0.4154145103692139,0.16298995889996012,🟡 Rework Signal — popular but underperforming
Luna Snow,46.51741666666667,29.413875,0.7362500000000001,3.120833333333333,2.4357496061077617,240,50.47,25.0,0.0,4,Niche Sleeper,-0.7095780126356255,1.7669980322159502,🟡 Rework Signal — popular but underperforming
Magik,54.84825,12.497166666666667,2.3467083333333334,4.583333333333333,2.680537216655361,240,58.63,33.33,0.0,1,Meta Tyrant,1.8985676845426631,-0.8279791142416266,✅ Stable — no intervention needed
Magneto,48.233,31.475208333333335,0.6692916666666666,3.558333333333333,1.0403552660019109,240,50.86,46.21,0.0,4,Niche Sleeper,0.2422317324541387,2.041251731586599,🟡 Rework Signal — popular but underperforming
Mantis,54.516333333333336,10.708375,0.10908333333333334,4.2375,4.7135816287902745,240,75.0,49.44,0.0,1,Meta Tyrant,0.9757308446885179,-1.343327024959772,⚪ Volatile — win rate swings heavily by season
